Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Parameters
ï»¿ZTRD,0 B C E,10016362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,0 B E E,10016625,0,0.18,0,1.19,0,0.18,0,1.28,0,0,0,0.15,AR,0.81,nan,[]
ZTRD,0 B I F,10022601,1.7,0,0.19,0,0.89,0,1.7,0,0,0,0,0,AR,2.12,nan,[]
ZTRD,0 B J C,10022701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.31,inf,[]
ZTRD,0 B J E,10022702,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,0 B M C,10024003,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,0 B X C,10024005,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,0 B X G,10024114,0,0.04,0.19,0,0,0,0.02,0,0,0,0,0,AR,0.28,nan,[]
ZTRD,0 C A E,10024211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,0 C F E,10024212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,0 C F F,10025006,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,0 C G E,10026401,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.19,nan,[]
ZTRD,0 C G F,10030340,0,0,2.81,2.48,0,1.62,0,2.52,0,0,1.92,0.93,AR,1.94,nan,[]
ZTRD,1 A A A,10030370,0.47,0,1.08,0,0.51,1.0,0.57,0.74,0.99,0.73,0.25,0.29,AR,0.7,nan,[]
ZTRD,1 A B E,10030405,0,1.16,3.84,0,2.79,0,4.08,2.72,2.08,1.83,1.98,0.62,AR,3.33,inf,[]
ZTRD,1 A C E,10030410,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.15,-0.0,-0.0,AR,0.3,inf,[]
ZTRD,1 A D A,10030415,1.24,0.05,0.17,0,0,0,0,0.93,0,0,0,0,AR,0.59,nan,[]
ZTRD,1 A E E,10030420,0.61,0,0.06,0.07,0.39,-0.0,0,0.36,0.11,0.57,0.04,0.12,AR,0.47,nan,[]
ZTRD,1 A H E,10030430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,1 A I E,10030450,1.8,0,6.46,3.63,1.34,1.3,10.43,4.95,2.23,0.23,9.7,4.51,AR,4.47,nan,[]
ZTRD,1 A L A,10030490,0,0.03,0.4,1.47,0.93,0,0.32,1.02,0.1,0.9,0,0.12,AR,0.79,nan,[]
ZTRD,1 A L F,10030492,0.33,0.2,1.13,1.21,0.54,0,0.86,0,0.61,0,0.6,1.76,AR,1.68,inf,[]
ZTRD,1 A X E,10030540,1.98,0.36,0.53,1.08,1.14,1.31,1.22,1.58,2.71,0.74,1.82,1.9,AR,0.91,inf,[]
ZTRD,1 A X F,10030550,0.8,0,0,0.66,1.58,1.43,1.1,0.97,0.16,0.01,0.05,0,AR,1.18,nan,[]
ZTRD,1 B A E,10030560,0,1.47,1.95,0.52,0.47,0,0.21,0,2.71,1.21,0,1.18,AR,1.51,nan,[]
ZTRD,1 B B B,10030570,1.44,0.26,2.03,3.03,1.46,0,2.47,1.11,1.02,2.09,1.17,1.15,AR,1.23,nan,[]
ZTRD,1 B B E,10030580,0.29,0.03,-0.0,0,0,0,0,0,0,0.0,0,0.0,AR,0.36,nan,[]
ZTRD,1 B D E,10030590,2.45,0.68,0.55,0.3,2.6,0.59,0.18,1.14,1.47,0.62,0.5,0.47,AR,0.96,nan,[]
ZTRD,1 C X C,10030595,1.74,0,2.44,0,2.0,0,1.82,0.7,1.66,0.53,4.53,0,AR,1.33,inf,[]
ZTRD,1 S Y G,10030600,1.31,0,0.49,0.84,1.23,0.24,0,0.07,0.03,0.81,0.22,0.92,AR,0.58,nan,[]
ZTRD,1 Y Y C,10030610,0.78,0,0,0,0,0,0,0,0,0,0,0,AR,0.38,nan,[]
ZTRD,2 A A E,10030620,0,2.03,2.14,5.08,3.33,3.75,8.35,0,6.94,0,6.91,1.66,AR,3.75,inf,[]
ZTRD,2 A C C,10030630,0.74,0,1.31,0,3.26,0,1.29,0,2.1,0.0,1.09,-0.0,AR,1.55,nan,[]
ZTRD,2 A C E,10030650,3.67,0.92,0.18,0.65,6.45,0,3.18,0,7.4,0,5.18,0,AR,2.5,nan,[]
ZTRD,2 A G C,10030690,1.17,0,0.49,0,1.6,0,0.93,0.09,0.06,-0.0,0.24,0,AR,0.72,nan,[]
ZTRD,2 A G E,10030750,0.01,0.25,0.72,0.42,-0.0,1.03,0.05,0.07,1.01,0,0.77,0.87,AR,0.57,nan,[]
ZTRD,2 A I B,10031340,0.26,0.12,0,0.2,0,0.91,0,0.02,0.05,0,0.07,0.06,AR,0.29,nan,[]
ZTRD,2 A I C,10031405,0,0,1.18,0.01,0,0.36,0.23,0,1.24,0.04,0,1.02,AR,0.5,nan,[]
ZTRD,2 A I E,10031415,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 A I F,10031450,0,0.14,1.2,-0.0,0,0.15,0,0,0,0,0,0.94,AR,0.45,nan,[]
ZTRD,2 A J B,10031492,0,0,0,0.08,0,0,0,0.17,0.35,0.13,0.91,0.96,AR,0.41,nan,[]
ZTRD,2 A J C,10031540,0.17,0,0.22,0.37,0.61,1.28,0,0,0.11,0.26,1.12,0.88,AR,0.5,nan,[]
ZTRD,2 A J E,10031550,0.0,0.03,0,1.03,0.01,1.02,0.02,0.02,0.02,0.0,0.02,0.04,AR,0.41,nan,[]
ZTRD,2 A J F,10031570,0.05,0.04,0.04,0.29,0,1.05,0.03,0.04,0.1,0,1.1,0.02,AR,0.41,nan,[]
ZTRD,2 A K C,10031595,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 A K E,10031610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 A K F,10031620,0.33,0.12,0.02,0.27,0.26,1.18,0.36,0.15,0.1,0.12,0.17,2.16,AR,0.69,nan,[]
ZTRD,2 A L E,10031630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 A M C,10031650,1.83,0,0.41,0.47,0.06,0,0,0.15,0.25,0,0.68,0,AR,0.71,nan,[]
ZTRD,2 A M E,10031690,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.59,inf,[]
ZTRD,2 A P B,10031750,0.06,0.06,0.06,0.06,0.03,0,0,0,0,0,0.01,1.26,AR,0.41,inf,[]
ZTRD,2 A P C,10034324,0.03,1.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,AR,0.29,nan,[]
ZTRD,2 A P E,10036602,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 A P F,10037311,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.31,inf,[]
ZTRD,2 A X C,10037371,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,AR,0.29,nan,[]
ZTRD,2 A X E,10040006,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 A X F,10040211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 A Y E,10054011,0,0,0,0,0,0,0,0.11,0,0.95,0,0,AR,0.29,nan,[]
ZTRD,2 B A E,10054017,3.68,1.6,1.45,0.68,0.48,0.46,0.73,1.69,5.6,0.28,0.19,0.5,AR,69721245.74,nan,[]
ZTRD,2 B A F,10054018,0,0.03,0.1,0.09,1.12,0.12,0.12,0.11,0.11,0.11,1.04,0.04,AR,0.41,nan,[]
ZTRD,2 B B C,10054019,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.0,nan,[]
ZTRD,2 B B E,10054020,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,AR,0.29,nan,[]
ZTRD,2 B B F,10054027,0.02,0,0,0.44,0.34,0,0.13,0.07,1.93,0,0.12,0.15,AR,0.58,nan,[]
ZTRD,2 B C C,10054034,0.31,0.01,0,0,0,0,0,0,0,0,0,0,AR,0.86,nan,[]
ZTRD,2 B C E,10054036,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 B C F,10054045,0.05,0.04,0.04,0.04,0.05,0.03,1.03,0.03,0.03,0.03,0.04,0.03,AR,0.29,nan,[]
ZTRD,2 B D B,10054046,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 B D E,10055002,0,0.7,0,0.08,0.03,0.28,0.65,0.06,0.23,0.66,0.29,0,AR,0.71,nan,[]
ZTRD,2 B D F,10055006,0.06,0,0.13,0,0.02,0.04,0,0.66,0,1.68,0.2,1.6,AR,1.04,nan,[]
ZTRD,2 B E C,10055026,-0.0,0.33,0.0,0,-0.0,0.04,0.0,0.32,-0.0,0.56,0.0,0.26,AR,0.41,nan,[]
ZTRD,2 B E E,10057002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 B X C,10057022,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.05,nan,[]
ZTRD,2 B X E,10057034,3.08,9.95,16.15,1.76,2.13,6.45,4.35,14.54,16.08,0,6.85,7.12,AR,7.26,inf,[]
ZTRD,2 B X F,10057083,6.68,7.76,9.69,4.53,9.14,1.34,5.38,9.35,0.93,6.91,2.73,1.29,AR,4.02,inf,[]
ZTRD,2 B Y C,10076001,2.44,0,0.38,4.23,0,0,2.43,0,0.67,0.5,0,0.05,AR,1.63,nan,[]
ZTRD,2 C A A,10100340,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 C A E,10100426,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,AR,3.61,inf,[]
ZTRD,2 D A C,10100779,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 D A E,10102317,0.75,0.47,0,0.09,0.2,0.06,0,0,0,0.67,0,0,AR,1.47,inf,[]
ZTRD,2 D A F,10102400,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.08,nan,[]
ZTRD,2 D B E,10102401,0,0.17,0.13,0.08,0.35,0.13,0.08,0.12,0.01,0.01,0,0,AR,0.63,nan,[]
ZTRD,2 D B F,10103101,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 D C C,10104021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 D C E,10104022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 D D E,10104023,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.18,nan,[]
ZTRD,2 D D F,10104028,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 D X C,10105011,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.1,nan,[]
ZTRD,2 D X E,10105012,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 D X F,10112050,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 X X C,10113011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 X X E,10113025,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 X X F,10115000,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.03,nan,[]
ZTRD,2 Y A C,10118019,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 Y A E,10118420,235.35,0,120.28,45.92,9.6,0.39,4.96,0,0,0,540.42,0,AR,28.84,nan,[]
ZTRD,2 Y A F,10118421,3.27,1.3,0.32,0,0,0,0.3,0.58,1.51,1.68,0.66,1.73,AR,1.77,inf,[]
ZTRD,2 Y Y C,10118422,0,0,0.04,0.08,0.05,0,0.15,1.98,0,0.06,0.17,0,AR,0.71,nan,[]
ZTRD,2 Y Y E,10118423,0,0,0,0,0.81,0,0,0,0,0,0.8,0,AR,0.87,nan,[]
ZTRD,3 A C C,10118563,2.83,1.73,0,1.65,0,0,9.84,1.63,2.24,0,0.54,0,AR,4.77,nan,[]
ZTRD,3 A C F,10122290,0.05,0.06,0.73,0.1,0.1,0.88,0.1,0.08,0.37,0.03,-0.0,0,AR,0.46,nan,[]
ZTRD,3 A D B,10122355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A D C,10122361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A D E,10124010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A D F,10124011,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A G B,10124164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A G C,10124409,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.3,inf,[]
ZTRD,3 A G E,10125003,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A G F,10125011,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.0,nan,[]
ZTRD,3 A K E,10125110,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,AR,0.3,inf,[]
ZTRD,3 A K F,10125164,0,1.23,1.1,0.07,0.66,0.03,0.92,0,0.23,1.01,0.1,1.43,AR,0.61,nan,[]
ZTRD,3 A L E,10126102,0.17,0.06,0.05,0,0,0.17,0.18,0.03,0.07,-0.0,0,0,AR,0.26,nan,[]
ZTRD,3 A M E,10126301,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A N E,10126609,0.83,0.81,0.79,0.77,0.77,0.77,0.77,0.77,30.77,0.77,0.77,0.77,AR,8.66,nan,[]
ZTRD,3 A X B,10127100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A X C,10127230,0.25,0,0,0.01,0.77,0.44,0,0.15,0.4,0,0.26,-0.0,AR,0.52,nan,[]
ZTRD,3 A X D,10127260,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A X E,10127280,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A X F,10127340,0.32,1.49,0,0.04,0.29,1.4,1.57,1.74,0,0.22,0.98,0,AR,1.27,nan,[]
ZTRD,3 B B E,10127370,0.53,0.45,0.46,0.51,1.06,1.25,1.12,1.11,1.18,1.27,2.62,2.87,AR,0.41,nan,[]
ZTRD,3 B X C,10127405,4.18,0,2.81,0,6.2,0,4.0,0.14,2.31,0.11,2.68,0,AR,2.25,inf,[]
ZTRD,3 B X E,10127410,0.99,0,0,0,0,0,0,0,0,0,0,0,AR,0.36,nan,[]
ZTRD,3 B X F,10127415,0.12,0.57,0.36,0.43,0.7,0.11,0.48,0,0.01,0.38,0.36,0.15,AR,0.4,nan,[]
ZTRD,3 C B C,10127420,0,0.02,0,0,0,0.97,0,0.07,0,0,0,0,AR,0.29,nan,[]
ZTRD,3 C C A,10127430,1.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,AR,0.29,nan,[]
ZTRD,3 C C E,10127450,2.02,3.1,0.85,2.4,0.26,1.37,0.42,0.02,0,0.46,0.69,1.77,AR,1.46,nan,[]
ZTRD,3 C D C,10127470,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,AR,0.3,inf,[]
ZTRD,3 C X E,10127490,1.22,0,0,0.18,0.31,0,0,0.93,0.04,0,0,1.06,AR,0.72,inf,[]
ZTRD,3 D A A,10127492,3.34,0.44,0,0.22,0.25,0,0.15,2.34,0,0,0,0.59,AR,1.41,nan,[]
ZTRD,3 D A E,10127540,0,1.06,1.66,1.87,1.37,0,0.32,0.33,1.33,0,0.58,0,AR,0.84,nan,[]
ZTRD,3 X A A,10127550,0,0,1.2,0,0.05,0.18,0,0,0.05,0.19,0,0,AR,0.58,nan,[]
ZTRD,3 X A C,10127560,0.95,1.52,0.47,0.14,0.42,0.73,0.6,0.94,0.09,0,0.1,0.33,AR,0.72,nan,[]
ZTRD,3 X A E,10127570,0.45,1.12,0,0.94,0,0.91,-0.0,0.02,0,0,0.1,0.98,AR,1.51,nan,[]
ZTRD,3 X B A,10127580,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.31,inf,[]
ZTRD,3 X B C,10127590,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 X B E,10127595,0,0,1.09,0.56,0.38,0.11,2.04,0,0.46,0,0.45,0.49,AR,1.46,nan,[]
ZTRD,3 X B F,10127600,0,1.74,0,0,0.15,0.03,0,0,0,0.14,0,0.72,AR,1.06,nan,[]
ZTRD,3 X C C,10127610,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.0,nan,[]
ZTRD,3 X C E,10127620,0.18,0,1.54,0,0,0.93,0.94,1.12,0.18,0.06,0.08,0.23,AR,1.0,nan,[]
ZTRD,3 X D A,10127630,0.08,0.04,0,0.93,0,0,0,0,0,0,0,0,AR,0.33,nan,[]
ZTRD,3 X D C,10127650,1.31,0.25,0.29,0,0,0.48,0,1.12,1.59,0,0,1.34,AR,0.91,nan,[]
ZTRD,3 X X C,10127690,0.15,0.59,0,1.34,0.39,0.52,0,0.64,0.28,0,0,0,AR,0.75,nan,[]
ZTRD,3 X X E,10127750,0.8,0.11,0,0,0,0,0,0,0,0,0.78,0.04,AR,0.5,nan,[]
ZTRD,3 X X F,10127900,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 X X G,10127998,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 Y Y C,10144026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 Z Z A,10145004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 Z Z B,10154003,0.02,1.19,0.02,0,0.02,0.01,0.01,0.03,0.19,0.02,0,0.01,AR,0.48,inf,[]
ZTRD,3 Z Z C,10154005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.3,inf,[]
ZTRD,3 Z Z E,10154006,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,AR,0.3,inf,[]
ZTRD,4 B X C,10154008,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,AR,0.3,inf,[]
ZTRD,4 E A C,10154010,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,4 X X C,10155000,0,0.22,0,0,0.07,0,0,0,0,0.07,0,0.13,AR,0.26,nan,[]
ZTRD,4 Y Y C,10155001,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,5 A A C,10235200,0,0.62,0.13,0.91,0.15,0,0.15,0,0,0.01,0,0,AR,0.53,nan,[]
ZTRD,5 A D C,10235203,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,AR,0.29,nan,[]
ZTRD,5 A D E,10235204,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,AR,0.29,nan,[]
ZTRD,5 A E C,10235208,0,0,19.19,0,0,0,0,0,0,0,0,0,AR,5.77,nan,[]
ZTRD,5 A E E,10250762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,5 A E F,10280015,0,0.07,0.31,0,0,0,0.12,0.04,0,0.9,0,0.08,AR,0.29,nan,[]
ZTRD,5 A X C,10280265,0,0,0,0,0,0,0,0,0,0,0,7.74,AR,0.11,nan,[]
ZTRD,5 A X E,10280316,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,5 S W E,10290115,0.18,0,0.18,0.09,4.02,0.09,0.09,0.06,0.09,0,0.44,0,AR,1.15,nan,[]
ZTRD,5 X X E,10290160,0.65,0.65,0.32,0,0.06,0.06,0.26,10.35,0.29,0.28,0.24,0.25,AR,7.74,inf,[]
ZTRD,5 Z Z A,10290237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,5 Z Z C,10290247,2.34,0,0.64,1.47,0,1.7,0.64,0.59,0.71,0.69,0,0,AR,2.25,nan,[]
ZTRD,5 Z Z E,10290274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,5 Z Z H,10290299,0.07,0.44,0.16,0,0.09,0.06,0,0.31,0,0,0,0,AR,0.52,nan,[]
ZTRD,6 C C J,10290300,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1.03,AR,0.29,nan,[]
ZTRD,6 X A G,10290317,7.58,0.3,0,2.2,6.96,1.91,1.55,0.46,0,2.86,-0.0,0.88,AR,7.99,nan,[]
ZTRD,6 X B G,10290318,0,0,4.76,6.68,4.53,0,0.1,0,1.0,2.11,0,0,AR,17.0,nan,[]
ZTRD,6 X X G,10290319,0,0,0.11,0,0.11,0,1.06,0.09,0,0.07,0,0.04,AR,0.29,nan,[]
ZTRD,6 X Y G,10290333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.3,inf,[]
ZTRD,6 X Z G,10290420,0.65,0,18.3,15.45,9.89,6.11,24.76,12.76,45.17,13.43,5.0,0,AR,7.63,inf,[]
ZTRD,7 D A B,10290421,0,102.15,0,64.34,0,56.13,0,123.19,0,445.25,0,713.54,AR,31.34,nan,[]
ZTRD,7 D A C,10290566,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,7 D Z B,10290599,6.45,0,5.4,0,1.78,0,23.43,0,28.85,0,20.98,0,AR,5.1,nan,[]
ZTRD,9 Z Z Z,10290607,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,B E 01,10290647,0,0,0,1.9,0,0,0,0,0,1.06,0,0.07,AR,0.69,nan,[]
ZTRD,G A A A,10290659,0.49,0.29,0,0,0,0,0.16,0.44,0,0.59,0.58,0.2,AR,0.68,nan,[]
ZTRD,G A A E,10290778,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.25,nan,[]
ZTRD,G B A A,10290786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,G B A E,10290859,4.98,0.45,9.23,0,2.03,0,11.53,0,4.32,0.45,15.35,2.54,AR,5.13,nan,[]
ZTRD,G B D C,10290866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,S A A A,10300011,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,S A E A,10300225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,S B A G,10392310,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.0,nan,[]
ZTRD,S B B G,10392347,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.19,0.18,0.18,0.18,AR,0.28,inf,[]
ZTRD,S B C G,10392348,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,S B D G,10392547,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,S B F G,10520629,0,0.79,5.27,2.44,0,0,0,0,0,0,0,0,AR,4.77,nan,[]
ZTRD,S C A E,10570099,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.3,inf,[]
ZTRD,0 B C E,10570134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.3,inf,[]
ZTRD,0 B I F,10612003,1.22,0.57,0,0,1.69,0,0.33,0.3,0.06,0,0.87,0.92,AR,2.05,nan,[]
ZTRD,0 B J C,10612004,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.1,nan,[]
ZTRD,0 B J E,10612016,0.02,0,0,0,0,0,0,0,0,0,0.03,0,AR,0.54,nan,[]
